Description,ID-Large,ID-Middle,ID-Small,en-us,ja-jp,zh-tw
App info,AppInfo,AppName,,CSV to resw Sample,CSV to resw サンプルプログラム,CSV to resw 範例程式
,AppInfo,Description,,A sample program to help you understand how to use CSV to resw.,CSV to resw の使い方を理解するためのサンプルプログラムです。,這是一個範例程序，用於了解如何使用 CSV to resw。
Main Window,MainPage,TextBlockGuidance.Text,,Choose the dish you would like to order.,注文したい料理を選んでください。,請選擇您想點的菜色。
,MainPage,CheckBoxCurry.Content,,Curry,カレー,咖哩
,MainPage,CheckBoxHamburg.Content,,Hamburg steak,ハンバーグ,漢堡
,MainPage,CheckBoxSushi.Content,,Sushi,寿司,壽司
,MainPage,ButtonOrder.Content,,Order,注文,命令
,MainPageViewModel,MessageTitle,,Information,情報,資訊
,MainPageViewModel,MessageContent,,Enjoy delicious food!,おいしい料理を楽しみましょう！,讓我們一起享受美味的食物吧！
,MainPageViewModel,ButtonOk,,OK,OK,好的
